initial_alias	converted_alias
NM_000299	PKP1
NM_001276351	C1orf141
NM_001276352	C1orf141
NM_001005337	PKP1
NM_001281956	CSMD2
NM_001042681	RERE
NM_001042682	RERE
NM_052896	CSMD2
NM_012102	RERE
NM_001319683	GLMN
NM_001320285	SLC44A5
NM_001130058	SLC44A5
NM_024686	TTLL7
NM_001320287	SLC44A5
NM_152697	SLC44A5
NM_001320283	SLC44A5
NM_053274	GLMN
NM_001350214	TTLL7
NM_006699	MAN1A2
NM_001350215	TTLL7
NM_001001740	COP1
NM_001146191	MPZL1
NM_003568	ANXA9
NM_030806	C1orf21
NM_024569	MPZL1
NM_001286644	COP1
NM_022457	COP1
NM_003953	MPZL1
NM_005525	HSD11B1
NM_001350251	SDCCAG8
NM_001350249	SDCCAG8
NM_001350248	SDCCAG8
NM_001206741	HSD11B1
NM_006642	SDCCAG8
NM_001350246	SDCCAG8
NM_001350247	SDCCAG8
NM_181755	HSD11B1
NM_001242874	PRKCZ
NM_001364727	AGRN
NM_002744	PRKCZ
NM_001349612	CAMTA1
NM_022114	PRDM16
NM_001350806	PRKCZ
NM_001349609	CAMTA1
NM_181864	ACOT7
NM_001305275	AGRN
NM_001349610	CAMTA1
NM_001349608	CAMTA1
NM_001350805	PRKCZ
NM_199454	PRDM16
NM_015215	CAMTA1
NM_007274	ACOT7
NM_001350804	PRKCZ
NM_001350803	PRKCZ
NM_001033581	PRKCZ
NM_181865	ACOT7
NM_181866	ACOT7
NM_198576	AGRN
NM_004753	DHRS3
NM_020780	DISP3
NM_001319225	DHRS3
NM_015164	PLEKHM2
NM_001324370	DHRS3
NM_015209	KAZN
NM_004565	PEX14
NM_001370230	KAZN
NM_201628	KAZN
NM_001319218	ALDH4A1
NM_001198801	EIF4G3
NM_015013	KDM1A
NM_014589	PLA2G2E
NM_001198802	EIF4G3
NM_001009999	KDM1A
NM_001161504	ALDH4A1
NM_001198803	EIF4G3
NM_003748	ALDH4A1
NM_003760	EIF4G3
NM_030812	ACTL8
NM_001363654	KDM1A
NM_170726	ALDH4A1
NM_015023	WDTC1
NM_001276252	WDTC1
NM_017646	TRIT1
NM_001312692	TRIT1
NM_001312691	TRIT1
NM_001099439	EPHA10
NM_032785	AGBL4
NM_020883	ZSWIM5
NM_001328648	PIK3R3
NM_001011547	SLC5A9
NM_001135181	SLC5A9
NM_001323573	AGBL4
NM_001323574	AGBL4
NM_001303427	P3R3URF-PIK3R3
NM_001323575	AGBL4
NM_005764	PDZK1IP1
NM_015269	TUT4
NM_001353980	None
NM_001981	EPS15
NM_001159969	EPS15
NM_001009881	TUT4
NM_021080	DAB1
NM_001321854	JAK1
NM_001321853	JAK1
NM_001083592	ROR1
NM_001037340	PDE4B
NM_002600	PDE4B
NM_005012	ROR1
NM_001037341	PDE4B
NM_176877	PATJ
NM_001321852	JAK1
NM_001297441	PDE4B
NM_001297440	PDE4B
NM_001350145	PATJ
NM_001199327	FPGT-TNNI3K
NM_001112808	FPGT-TNNI3K
NM_015978	TNNI3K
NM_001193334	WLS
NM_001002292	WLS
NM_024911	WLS
NM_001366004	ADGRL2
NM_001366003	ADGRL2
NM_001160011	None
NM_001349111	ST6GALNAC3
NM_015534	ZZZ3
NM_001349105	None
NM_001349109	None
NM_001297704	ADGRL2
NM_001349108	ST6GALNAC3
NM_001366008	ADGRL2
NM_006820	IFI44L
NM_152996	ST6GALNAC3
NM_001349107	ST6GALNAC3
NM_001349106	ST6GALNAC3
NM_001349110	None
NM_001308237	ZZZ3
NM_001349955	COL24A1
NM_001330647	MCOLN2
NM_012262	HS2ST1
NM_001134492	HS2ST1
NM_153259	MCOLN2
NM_152890	COL24A1
NM_000110	DPYD
NM_006090	CEPT1
NM_000701	ATP1A1
NM_001330743	CEPT1
NM_001160233	ATP1A1
NM_001160234	ATP1A1
NM_001007794	CEPT1
NM_001198834	PDE4DIP
NM_001350522	PDE4DIP
NM_014455	RNF115
NM_001198832	PDE4DIP
NM_001002812	PDE4DIP
NM_001350521	PDE4DIP
NM_001350523	PDE4DIP
NM_014644	PDE4DIP
NM_022359	PDE4DIP
NM_020205	OTUD7B
NM_001002810	PDE4DIP
NM_001195261	PDE4DIP
NM_001195260	PDE4DIP
NM_001204286	MUC1
NM_001204285	MUC1
NM_001199664	PMF1-BGLAP
NM_001371720	MUC1
NM_001204294	MUC1
NM_001204293	MUC1
NM_001204297	MUC1
NM_001204295	MUC1
NM_207308	NUP210L
NM_007221	PMF1
NM_001199661	PMF1-BGLAP
NM_001204290	MUC1
NM_002456	MUC1
NM_001199654	PMF1
