initial_alias,converted_alias
NM_000299,None
NM_001276351,None
NM_001276352,None
NM_001005337,None
NM_001281956,233145_at
NM_001042681,None
NM_001042682,None
NM_052896,233145_at
NM_012102,None
NM_001319683,None
NM_001320285,235763_at
NM_001130058,235763_at
NM_024686,228724_at
NM_001320287,235763_at
NM_152697,235763_at
NM_001320283,235763_at
NM_053274,None
NM_001350214,228724_at
NM_006699,None
NM_001350215,228724_at
NM_001001740,234950_s_at
NM_001146191,231621_at
NM_003568,None
NM_030806,223125_s_at
NM_030806,223126_s_at
NM_030806,223127_s_at
NM_024569,231621_at
NM_001286644,234950_s_at
NM_022457,234950_s_at
NM_003953,231621_at
NM_005525,None
NM_001350251,227785_at
NM_001350249,227785_at
NM_001350248,227785_at
NM_001206741,None
NM_006642,227785_at
NM_001350246,227785_at
NM_001350247,227785_at
NM_181755,None
NM_001242874,230649_at
NM_001364727,None
NM_002744,230649_at
NM_001349612,225692_at
NM_001349612,225693_s_at
NM_001349612,227328_at
NM_022114,232424_at
NM_001350806,230649_at
NM_001349609,225692_at
NM_001349609,225693_s_at
NM_001349609,227328_at
NM_181864,None
NM_001305275,None
NM_001349610,225692_at
NM_001349610,225693_s_at
NM_001349610,227328_at
NM_001349608,225692_at
NM_001349608,225693_s_at
NM_001349608,227328_at
NM_001350805,230649_at
NM_199454,232424_at
NM_015215,225692_at
NM_015215,225693_s_at
NM_015215,227328_at
NM_007274,None
NM_001350804,230649_at
NM_001350803,230649_at
NM_001033581,230649_at
NM_181865,None
NM_181866,None
NM_198576,None
NM_004753,None
NM_020780,230019_s_at
NM_020780,234355_s_at
NM_001319225,None
NM_015164,None
NM_001324370,None
NM_015209,229144_at
NM_004565,None
NM_001370230,229144_at
NM_201628,229144_at
NM_001319218,None
NM_001198801,None
NM_015013,None
NM_014589,None
NM_001198802,None
NM_001009999,None
NM_001161504,None
NM_001198803,None
NM_003748,None
NM_003760,None
NM_030812,None
NM_001363654,None
NM_170726,None
NM_015023,None
NM_001276252,None
NM_017646,None
NM_001312692,None
NM_001312691,None
NM_001099439,236073_at
NM_001099439,243717_at
NM_032785,None
NM_020883,232336_at
NM_001328648,None
NM_001011547,232378_at
NM_001135181,232378_at
NM_001323573,None
NM_001323574,None
NM_001303427,241325_at
NM_001323575,None
NM_005764,None
NM_015269,None
NM_001353980,None
NM_001981,None
NM_001159969,None
NM_001009881,None
NM_021080,226020_s_at
NM_021080,228329_at
NM_021080,234127_at
NM_001321854,239695_at
NM_001321853,239695_at
NM_001083592,232060_at
NM_001037340,None
NM_002600,None
NM_005012,232060_at
NM_001037341,None
NM_176877,223681_s_at
NM_176877,232041_at
NM_176877,239173_at
NM_176877,240570_at
NM_001321852,239695_at
NM_001297441,None
NM_001297440,None
NM_001350145,223681_s_at
NM_001350145,232041_at
NM_001350145,239173_at
NM_001350145,240570_at
NM_001199327,None
NM_001112808,None
NM_015978,None
NM_001193334,228949_at
NM_001193334,228950_s_at
NM_001002292,228949_at
NM_001002292,228950_s_at
NM_024911,228949_at
NM_024911,228950_s_at
NM_001366004,None
NM_001366003,None
NM_001160011,None
NM_001349111,235334_at
NM_015534,229325_at
NM_001349105,None
NM_001349109,None
NM_001297704,None
NM_001349108,235334_at
NM_001366008,None
NM_006820,None
NM_152996,235334_at
NM_001349107,235334_at
NM_001349106,235334_at
NM_001349110,None
NM_001308237,229325_at
NM_001349955,238732_at
NM_001330647,230110_at
NM_012262,230465_at
NM_001134492,230465_at
NM_153259,230110_at
NM_152890,238732_at
NM_000110,None
NM_006090,239797_at
NM_000701,None
NM_001330743,239797_at
NM_001160233,None
NM_001160234,None
NM_001007794,239797_at
NM_001198834,232509_at
NM_001350522,232509_at
NM_014455,226468_at
NM_014455,239383_at
NM_014455,243976_at
NM_001198832,232509_at
NM_001002812,232509_at
NM_001350521,232509_at
NM_001350523,232509_at
NM_014644,232509_at
NM_022359,232509_at
NM_020205,227436_at
NM_020205,229488_at
NM_020205,238573_at
NM_020205,238994_at
NM_001002810,232509_at
NM_001195261,232509_at
NM_001195260,232509_at
NM_001204286,None
NM_001204285,None
NM_001199664,None
NM_001371720,None
NM_001204294,None
NM_001204293,None
NM_001204297,None
NM_001204295,None
NM_207308,232598_at
NM_007221,None
NM_001199661,None
NM_001204290,None
NM_002456,None
NM_001199654,None
NM_001199653,None
NM_001204287,None
NM_001044393,None
NM_001044392,None
NM_001204289,None
NM_001204296,None
NM_001044391,None
NM_001199662,None
NM_001199663,None
NM_001018017,None
NM_001018016,None
NM_001204292,None
NM_001204291,None
NM_001159484,232598_at
NM_001204288,None
NM_001044390,None
NM_002585,None
NM_001353131,None
NM_001353130,None
NM_144624,224691_at
NM_144624,227740_at
NM_144624,235003_at
NM_001204963,None
NM_001204961,None
NM_001184763,224691_at
NM_001184763,227740_at
NM_001184763,235003_at
NM_001365774,None
NM_000696,None
NM_175866,224691_at
NM_175866,227740_at
NM_175866,235003_at
NM_001350204,None
NM_022093,None
NM_020423,231111_at
NM_001136127,None
NM_015569,None
NM_001350205,None
NM_181093,231111_at
NM_001350206,None
NM_001278252,None
NM_001350222,None
NM_001350219,None
NM_001366934,None
NM_201568,None
NM_001350220,None
NM_001350221,None
NM_032360,225317_at
NM_032360,228209_at
NM_173156,None
NM_170692,222810_s_at
NM_170692,227036_at
NM_170692,234343_s_at
NM_003101,228479_at
NM_003101,244661_at
NM_001174061,None
NM_001137669,None
NM_001252511,228479_at
NM_001252511,244661_at
NM_001252512,228479_at
NM_001252512,244661_at
NM_001331007,None
NM_021165,None
NM_201569,None
NM_001206846,232238_at
NM_001206846,239002_at
NM_018136,232238_at
NM_018136,239002_at
NM_133494,None
NM_000573,239205_s_at
NM_000573,244313_at
NM_001167857,None
NM_002596,None
NM_001167858,None
NM_182665,223322_at
NM_182664,223322_at
NM_002646,None
NM_002481,None
NM_182663,223322_at
NM_212502,None
NM_212503,None
NM_000651,239205_s_at
NM_000651,244313_at
NM_001331029,None
NM_001243509,None
NM_014053,222906_at
NM_014053,228191_at
NM_172362,None
NM_001243507,None
NM_001243506,None
NM_001134285,None
NM_206594,None
NM_206595,None
NM_001320808,227476_at
NM_002238,None
NM_001243505,None
NM_001350125,None
NM_001350124,None
NM_001350123,None
NM_001350122,None
NM_001243510,None
NM_014873,227476_at
NM_001243511,None
NM_206933,None
NM_001037175,223821_s_at
NM_001037175,223822_at
NM_012414,240234_at
NM_025160,223863_at
NM_025160,224897_at
NM_025160,224898_at
NM_025160,224905_at
NM_017982,223821_s_at
NM_017982,223822_at
NM_001115113,223863_at
NM_001115113,224897_at
NM_001115113,224898_at
NM_001115113,224905_at
NM_001314021,None
NM_001164540,None
NM_018662,None
NM_001164551,None
NM_001164549,None
NM_001164539,None
NM_001012959,None
NM_001164542,None
NM_001164546,None
NM_001164548,None
NM_001012957,None
NM_001164537,None
NM_001164547,None
NM_001164541,None
NM_007357,243608_at
NM_001145036,243608_at
NM_001164556,None
NM_001164555,None
NM_014777,None
NM_001164538,None
NM_001164545,None
NM_001164544,None
NM_001348094,223618_at
NM_001282773,None
NM_001350116,None
NM_001350113,None
NM_001305424,223618_at
NM_001282775,None
NM_001350115,None
NM_001350114,None
NM_002924,None
NM_001364886,None
NM_001195812,242173_at
NM_001320272,242173_at
NM_020066,223618_at
NM_001282778,None
NM_001195811,242173_at
NM_001372062,242173_at
NM_018012,238617_at
NM_001167740,None
NM_022743,None
NM_001346116,228733_at
NM_014188,223051_at
NM_014188,223053_x_at
NM_014188,226229_s_at
NM_022834,222723_at
NM_022834,228651_at
NM_022834,233091_at
NM_001313896,None
NM_001282538,None
NM_153339,228733_at
NM_001282539,None
NM_001304360,None
NM_199121,222723_at
NM_199121,228651_at
NM_199121,233091_at
NM_001130045,236418_at
NM_001371649,236418_at
NM_001313982,None
NM_024011,None
NM_002074,None
NM_033529,None
NM_001303013,None
NM_001301060,None
NM_001242672,None
NM_014638,None
NM_001303012,None
NM_024848,None
NM_033467,None
NM_001204184,232546_at
NM_001409,226869_at
NM_001204185,232546_at
NM_001204186,232546_at
NM_005427,232546_at
NM_001204188,232546_at
NM_001204187,232546_at
NM_001042478,None
NM_018836,None
NM_001291593,None
NM_172130,None
NM_015557,None
NM_001199861,None
NM_001291594,None
NM_003636,None
NM_015102,None
NM_024654,None
NM_001195563,225692_at
NM_001195563,225693_s_at
NM_001195563,227328_at
NM_001242701,225692_at
NM_001242701,225693_s_at
NM_001242701,227328_at
NM_018198,None
NM_001349627,225692_at
NM_001349627,225693_s_at
